text,star_rating,sentiment_class,category_class
choose right list item beautiful intricate detail amaze book prismacolor premier soft core prismacolor premier verithin pilot fine point retractable pen multiple pack small aluminum handheld pencil sharpener sanford peel magic eraser page use medium problem seep page get smudge rub flake keep sharpen pointy able tiny area design purchase think adequate prismacolors easy blend combine achieve need want purchase later decide want purchase individually try use brand mandala book none enough pigment find press hard page deposit enough rheumatoid arthritis make already painful hand hurt even prismacolors expensive brand worth price able without pain hand,5.0,Positive,product
sorry bill work downtown washington november john kill day later stand pennsylvania avenue bright november sunshine watch unforgettable funeral procession team white horse pull wheeled artillery cart carry flag drape casket follow black saddled riderless horse boot place reversed stirrup unhurried muffled drumbeat accompany inexpressible sensation grief pervade cool collective anguish course also grief seem country would never write political rant rather concern ever lengthen shadow continue cast unthinkable event november still copy life magazine come day article life state president turn toward school book depository explain entrance wound parkland doctor discover throat later correct tell texas doctor wrong entrance wound exit wound december story leak press state edgar hoover already determine harvey oswald lone assassin information seem calm distraught nation almost year later warren publish hail mainstream medium virtually universal praise although support volume evidence supplementary would publish another month believe people ever read page warren warren reassure american conspiracy jack ruby murder oswald also lone assassin connect organize crime reading explain people first bullet miss second bullet back exit throat travel wound governor connally third bullet inflict final fatal head wound book begin emerge credible researcher report much evidence volume documentation dramatically contrary finding clearly warren go extreme measure ignore jack ruby organize crime connection even disturb equally apparent witness testify event take place warren describe especially john nellie connally testify oath absolutely convinced moment governor connally different shot true least assassin zapruder film tragedy testify along score witness shoot definitely come grassy knoll evidence accumulate steady decline credibility warren lyndon johnson disown die driven public entreaty congressional inquiry call house select committee assassination governmental investigation manage take baby step toward reality determine conspiracy involve least shooter grassy knoll probably orchestrate organize crime however government still could tell happen involve still generally support incongruous conclusion warren late gaeton fonzi spend three year investigator houseselect committee assassination lament failure book last investigation historian consider fonzi book among preeminent scholarly hundred publish write despite clamor last year book film article president john allow quietly history must happen ever conspiracy kill president united state conspiracy democratic system thus conspiracy every government fail outrageous democratic society official investigation government still tell know happen look forward bill book last someone would shift morass information distill reasonable spin presentation really happen catastrophic certain would dare open forbidden door however much like bill book mostly rework timeworn material finally get around address page final page legendary spin embrace flagrant spin american history warren could examine without scrutinize publish documentation supplemental autopsy drawing james humes agent james sibert illustrate back wound lower suppose throat exit wound could ignore information agent sibert neil present autopsy state hume probe back wound determine bullet enter trajectory degree penetrate less length finger testimony secret service agent glen bennett bullet strike four inch right shoulder testimony secret service agent clinton hill examine body morgue describe back wound could possibly exit president throat inch neckline right hand side spinal column coauthor play safe write book pretend research investigation simply never happen beyond write rife error assumption grievously incompetent conclusion warren book submit publisher celebrity would toss five minute kill colossal disappointment bad endangers truth assist submergence fabricate history kill disservice folk suppose look save money invest acclaim book last investigation gaeton fonzi larry mullinsselect committee assassination lament failure book last investigation historian consider fonzi book among preeminent scholarly hundred publish write despite clamor last year book film article president john allow quietly history must happen ever conspiracy kill president united state conspiracy democratic system thus conspiracy every government fail outrageous democratic society official investigation government still tell know happen look forward bill book last someone would shift morass information distill reasonable spin presentation really happen catastrophic certain would dare open forbidden door however much like bill book mostly rework timeworn material finally get around address page final page legendary spin embrace flagrant spin american history warren could examine without scrutinize publish documentation supplemental autopsy drawing james humes agent james sibert illustrate back wound lower suppose throat exit wound could ignore information agent sibert neil present autopsy state hume probe back wound determine bullet enter trajectory degree penetrate less thelength finger testimony secret service agent glen bennett bullet strike four inch right shoulder testimony secret service agent clinton hill examine body morgue describe back wound could possibly exit president throat inch neckline right hand side spinal column coauthor play safe write book pretend research investigation simply never happen beyond write rife error assumption grievously incompetent conclusion warren book submit publisher celebrity would toss five minute kill colossal disappointment bad endangers truth assist submergence fabricate history kill disservice folk suppose look save money invest acclaim book last investigation gaeton fonzi larry mullins,1.0,Negative,product
great taste start say book amazing world good live portland mecca vegan vegan friend claw door instead eat hearty delicious stuff say feel like kind sell beginner cookbook intro say cooking vegetable take minute finesse rocket science include instruction bonus point fact need bunch esoteric ingredient fancy kitchen gadget still make entr take hour making sauce everything scratch weeknight cook might challenge cook juggle sauce saut steam veggie wish prep cook time list read recipe make educated guess anyway aware delicious tone funny talk friend despite drawback still give five star,5.0,Positive,product
beyond religion endorsement support another survivor someone experience struggle many thing eben discus surprise response many people experience often find tell try impart information receive experience difficult task would understatement vast universe clinical aspect alexander experience make unique along outright conversion scientific reductionist someone see clearly vast majority find outside space time universe medical book ndes especially intertwine personal journey find family self must start open mind heart unfortunately already harden view side spectrums religion dismiss much anyone write topic narrow dogmatic view world even bad force look outside safe little box take effort learn open possibility model faith good start point entire answer einstein quote begin chapter final dilemma say best must willing give order become whether begin christian buddhist quantum physicist simple seeker knowledge beyond understand move outside construct way think imperative discovery fundamentalism whether religious scientific really different intellectual bigotry close expand thought encompass way look expand information eben embrace world gracefully without discount specific ideology eben experience certainly deeply expansive read include agree lack detail time heaven term find limit frustrate point need spend much technical side coma quest victory regard family past present well touch scientific aspect regard external make short excellent jump point deeper study discussion experience spent almost obsessive year try vain connect dot knowledge impart put back could live life series event past year find much back tell realize video movie able even scratch surface answer great question life death relate quantum theory expect answer size configuration lazy best reason section call reading list expansive much write topic spiritual scientific approach true seeker truth start journey knowledge eben instead appreciate fact experience unique medical reality coma amazing revelation family love eternal nature begin journey true understanding expansive inclusive answer meld religion give star important unique bringing focus need global change perception understand reality interconnectedness everything creation important unique bringing focus need global change perception understand reality interconnectedness everything creation,5.0,Positive,product
unique work generation edit would point ridiculous literally star review except count purchase even read look kind invasion april right winger tell communist something make star vote bring rating amazon allow kind manipulation limit review verified customer purchase could give star would former libertarian realize path quickly lead oligarchy ideology piketty wonderful reminder wrong back empirical work do assemble wealth concentration country simply invaluable data gini labor capital meticulously collect analyze specific percentiles wealth many nation groundbreaking long deny inequality united state longer deny gilded regulatory capture wild west capitalism outright corruption legalize politician merely keep deregulate cut tax cut spend public program piketty provide important data historical context analysis make clear policy prescription inheritance sane corporate governance standard stop insane overpay executive strengthen public institution provide opportunity mass remember reverse change incentive allow american oligarch account shenanigan havens lobbyist rule favor recommend anyone irrational anti government tendency liberal still defend obama corporatist democrat time generation radical reform disgraceful system,5.0,Positive,product
stop kiss frog try paleo grain cookbook since first discover healthy eating earlier year kiss frog sell amazon asin satisfy eats grain sugar hunger strange warm fuzzy cult follow undeserved rating groupie think fell first buy kindle edition ipad full quirk glitch practically useless order hard copy learn edition load mistake author post errata website confuse mistake send back thing make utter disaster especially muffin cookie thing also wheat belly load truly awful recipe include basic recipe go directly trash cut first slice send back asin make paleo grain recipe occasion nothing special hopelessly repetitive however finally find prince author world famous sandwich benchmark grain everyday sandwich loaf close wheat flour taste could happily live rest life eat slow cooker sesame orange chicken coconut lime rice cauliflower rice like fool best kindle version ipad work perfectly quirks glitch every recipe picture even index thumbnail picture every single recipe paleo make good look loaf world famous sandwich asin daddio anodize aluminum perfect bake small square slice instead wide shallow rectangular slice sure size perfect bake small square slice instead wide shallow rectangular slice sure size,5.0,Positive,product
life change cannot begin tell life change struggle diet last year try watcher lose entire pound month deal constant must something wrong clearly track point lose diet exercise never goal another turn nothing seem help crossfit summer introduce paleo friend switch paleo type diet although lose speak energy well sleep habit clear skin think crazy would lose well week later sell line obsese overweight exercise healthy diet never calories even though say track calorie three week become apparent eat exercise less fall importantly inch come look felt someone slowly come joke size wore less never hungry full relearn full skin incredibly soft acne never clear nearly go sleep hour night straight energy mental acuity improve lost pound month continue lose pound friend talk small part use feel felt bloat feel bloat almost whole miserable mean felt sick fell asleep skin glow energy sell prepare effort master recipes back trust love cook idea thing find incredibly fascinate taste completely change tried oreo almost throw tasted licking cold roast joke today husband birthday could cake supermarket cream taste scoop sugar amaze suddenly taste every preservative everything bizarre go time soon test react pretty much everything except rice thing wine worth keep go comment book serious reaction keep mean issue definitely mine nothing work friend since success great success insulin resistance issue blood sugar level keep creep every year fantastic technical note kindle edition cut recipes back purchase hard copy reason final note read entire book lifestyle know make sense stick good luck almost whole miserable mean felt sick fell asleep skin glow energy sell prepare effort master recipes back trust love cook idea thing find incredibly fascinate taste completely change tried oreo almost throw tasted licking cold roast joke today husband birthday could cake supermarket cream taste scoop sugar amaze suddenly taste every preservative everything bizarre go time soon test react pretty much everything except rice thing wine worth keep go comment book serious reaction keep mean issue definitely mine nothing work friend since success great success insulin resistance issue blood sugar level keep creep every year fantastic technical note kindle edition cut recipes back purchase hard copy reason final note read entire book lifestyle know make sense stick good luck,5.0,Positive,product
sheer brilliance maybe good life guilty pleasure guilty spectacle shade spectacle time review precious pearl literary genius go dive hold last left romantic icon steele newly engage face boss jack hyde fire jealous pique jack make pas robinson woman initiate life bdsm crazy love bird find happiness contentment thank goodness keep hang give gift shade free tale open wed bask european honeymoon bicker rock headboard bicker make rock headboard enjoy romantic interlude learn someone apparently try sabotage part building enter plot portion festivity threat enterprise increase mean edge seat anticipation awful thing transpire also continue friction marriage argue damn thing time follow furious headboard rockin story share certain similarity shade shade darker shade free actually attempts gulp style flashback seemingly even interval mysteriously drop epilogue show clearly realize book style mean really good stuff shall face also book plot please important thing anticipate butt plug show know waited breathless anticipation deny also meet flogger cross use grid insert jumpy clap continue know biblical sense different locale include limited airplane yacht couch shower bathtub picnic blanket thank satin room pain know use romantic situation whatsoever bereft grief attach make brief appearance wrap around anyone appendages tease amuse also miss sign competent coherent editor present repetitious write take less three page first smirk appear time smirk character action suspect also bite lip roll eye lip press hard line frown sigh play enter repertoire rub nose length nose naturally almost often say hmmm clearly message absence ability write dialogue insert breathy moan excerpt feel free interpretive dialogue want tumble bite warn compliantly release think disadvantage call time forget first names lash squirm provocatively beneath could disadvantage surely already want smirk course hedoes press groin mine language mellifluous lose thank goodness reinvigorate writing type mistakenly write goddess rather goodness brings another repetition subconscious complete half moon glass disdain show inner goddess present subconscious school marm sure lucky shade darker worth course cannot stop engagement need wed honeymoon corporate intrigue early month marriage law evil employee evil dominatrix cannot stop second must awful wrong badly write edit predecessor say literary crack addict plus brief glimpse point view say please love mark twain please review originally appear cupcake book cupboard press groin mine language mellifluous lose thank goodness reinvigorate writing type mistakenly write goddess rather goodness brings another repetition subconscious complete half moon glass disdain show inner goddess present subconscious school marm sure lucky shade darker worth course cannot stop engagement need wed honeymoon corporate intrigue early month marriage law evil employee evil dominatrix cannot stop second must awful wrong badly write edit predecessor say literary crack addict plus brief glimpse point view say please love mark twain please review originally appear cupcake book cupboard,4.0,Positive,product
love exactly come skeptical love exactly brilliantly beautiful southern woman discover father angry pompous patriarchal publisher squash convinced write brilliantly beautiful southern woman discover father watchman grow kill buddha lay claim world view certainly believe harper first totally understand editor bury encouraged bend considerable talent concept mockingbird latch onto fairly insignificant anecdote reframing main plot thrust also neatly swap hero heroine make star instead woman set aside suspicious circumstance magical appearance watchman bucket money involve publisher agent also totally harper might want point life atticus watchman elderly person sick tire carry burden hero worship take disillusionment throw behind cream parlor childhood home hurt infuriates strip away security blanket editor want back time embrace author force firmly look eye tell wonderful must write every exactly want love mockingbird much next nerd break heart matter know know publish process publisher take hold woman astonish lyrical skill massive talent insight transcend year literary chop trajectory eclipse faulkner turn wonder recluse unwilling unable ever publish love harper beautiful novel mourn dozen could transcend year literary chop trajectory eclipse faulkner turn wonder recluse unwilling unable ever publish love harper beautiful novel mourn dozen could,5.0,Positive,product
policical statement freedom speech power buck today buy book cheerio support contain mixed race marriage american grow beyond year polical correctness crap life,5.0,Positive,product
